npaid	smiles
NPA000123	CCCCCCCCCC(=O)O[C@@H]1[C@H]([C@]2(O[C@@H]([C@]([C@@]1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCCC(C(C)C/C=C/C3=CC=CC=C3)OC(=O)C)O
NPA000126	CC[C@H](C)[C@@H](C(=O)N[C@H]1CCCCNC(=O)/C=C\[C@@H](NC1=O)C(C)C)NC(=O)N[C@@H](C(C)C)C(=O)O
NPA000148	C1=CC=C2C(=C1)C(=CN2)CC(=O)NCCCCC(C(=O)O)N
NPA000155	CC1=C(N(C(C1=O)(C)O)CCO)CC(CC(/C=C\C=C\C(=C\C=C\C(C)C(C(C)CCC2=CC=CC=C2)O)\C)O)O
NPA000159	C1C[C@@H]2C(=O)N[C@@H](C(=O)N2C1)CC3=CC=C(C=C3)O
NPA000161	CCC(C)CC(C)C1=CC2=C(CO1)C(=C3C(=C2)C=C(C(=O)C3=O)OC)O
NPA000165	C/C=C(/C1=CC(=O)[C@@H]([C@]1(C(=O)OC)O)Cl)\Cl
NPA000167	CC1CCC(C(C(CC(C(/C=C\C=C/C(=O)OC(C(/C=C\C=C(/C(C(C(CC(CC(CC2CC(C(C(O2)(CC1O)O)O)O)O)OC(=O)CC(=O)O)O)C)O)\C)C)C(C)CCC/C=C/CCCNC(=NC)N)C)O)O)C)O
NPA000170	CCC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)N(C(C(=O)OC(C(=O)NC(C(=O)N3CCCC3C(=O)NCC(=O)N(C(C(=O)N(C(C(=O)N1)CCC(=O)O)C)C(C)C)C)CC4=CC=CC=C4)C(C)CC)CCC(=O)O)C)C(C)C
NPA000171	CC1C[C@@]23[C@@](O2)(C(=O)C=C(C3(O1)O)OC)C
NPA000173	CCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)CC(=O)O)C(C)CC)C(C)CC)CO)CC(C)C)CO)CC(C)C)CC(C)C)C(C)O)CC(=O)O)CC(C)C
NPA000174	CC[C@H](C)[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NC(C)(C)C(=O)N1CCC[C@H]1CO)NC(=O)C(C)(C)NC(=O)[C@H](C(C)C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C
NPA000180	CCCCCCCCC[C@@H](CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H]1C(OC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CO)C(C)CC)C)O
NPA000186	C1=CC2=C(C=CO/C(=C\Cl)/O2)C=C1C(=O)N
NPA000197	C[C@H]1/C=C(/C(=O)O[C@@H]([C@@H]([C@H]2C[C@@H]([C@H](O2)/C=C(/[C@@H](C/C=C/C=C(/C1=O)\C)O)\C)OC)C)/C=C/[C@@H]3[C@H](O3)C)\C
NPA000203	CC[C@H](C)[C@@H](/C(=C/C(C)(C1=C(C(=C(C(=O)O1)C)O)CO)O)/C)O
NPA000211	CC1=C(C(OC1=O)(C)O)C
NPA000221	C[C@H]1C[C@@H]([C@]2(C[C@H]([C@H]([C@H](O2)[C@H](C)[C@H]([C@@H](C)C/C(=C/CO)/C)O)C)OC)O[C@@H]1[C@@H](C)[C@H]([C@@H](C)/C=C\C=C\C=C/C=C/C=C\[C@H](CC(=O)O)OC)O)O
NPA000226	CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OCC=C(C)C)C(=O)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2C(=O)C(CC3=CC=CC=C3)O
NPA000242	CC1=CC=CC=C1O
NPA000246	CC1=C(C(=C2C(=C1OC)[C@]3(C(=O)C(C(=O)C[C@]3(O2)OC)C(=O)C)C)C(=O)C)O
NPA000247	COC1=C(C=C(C=C1Cl)C(=O)OC)Cl
NPA000248	CC(C(/C=C/C1=COC=N1)O)O
NPA000250	C/C/1=C\C/C=C/C/C(=C\C(=O)O[C@H](C[C@@H](C1)O)C[C@@H](CC/C(=C/CC2=CC=CC=C2)/C)O)/CC(=O)O
NPA000252	C/C=C/[C@H]1C=C[C@@H]([C@H]([C@H]1C(C(=O)C)O)O)O
NPA000253	C[C@H]1/C=C/C=C\C(=O)NC2=C(C(=O)C3=C(C(=C(C=C3C2=O)C)O)C(=O)/C(=C/[C@@H]([C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)O)C)/C)C
NPA000255	C[C@@H]1[C@H](C(CCC/C=C\[C@@H]([C@H](OC(=O)C[C@@H](C(C1=O)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)O)C)O
NPA000259	C[C@@H]1[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)C)CC(C)C)CC(C)C)CC(C)C)CC(C)C)C)NC(=O)CCCC(C)C
NPA000264	C[C@H]1[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)CC(=O)C2=CC=CC=C2N)C(C)CC(=O)O)CC(=O)N)CC(=O)O)C)CC(=O)O)CCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)CCCCCCCCC(C)C
NPA000266	C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC2=CC=CC=C2)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC3=CC=CC=C3)OC)/C
NPA000270	COC(=O)C1=C[C@@H]2[C@@H]([C@H](C1)O)NC(=O)C(=C)O2
NPA000271	CCC(C)CCCCC(=O)O[C@H]([C@@H](C(=O)NCCCN[C@@H]([C@@H]([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)O)O)O[C@H]3[C@@H]([C@@H]([C@H](O3)CN)O)OC)C(=O)O)NC(=O)[C@H]([C@@H]4CCN=C(N4)N)NC(=O)N[C@@H](C(C)C)C(=O)O)C(C)C
NPA000273	C[C@@H](C1=CC(=CC(=C1)O)O)C(=O)C
NPA000279	C1[C@H]([C@H](C2=CC3=C(COC3)C(=C2C1=O)O)O)O
NPA000288	CC(C(C(=O)N(CCCC(C(=O)O)N)O)NC(=O)C(CCCN(C(=O)CCNC(=O)C(CCCN(C=O)O)N)O)N)O
NPA000290	CC1=COC(=O)C2=C(C3=C(C=CC=C3O)O[C@@]2([C@@H]1O)C(=O)OC)O
NPA000291	COC1=C(C(=C(C(=C1Cl)Cl)OC)Cl)Cl
NPA000294	CC(C)[C@@H](C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O)NC(=O)[C@@H](CC2=CC=CC=C2)N
NPA000306	C[C@H]([C@H](C1=CC=C(C=C1)OC)O)O
NPA000311	CCCCC[C@H]1[C@H](CCC1=O)CC(=O)N[C@@H]([C@H](C)CC)C(=O)O
NPA000313	CCCCCCCCCC(CC(=O)N/C(=C\C)/C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N/C(=C\C)/C(=O)N[C@H]2[C@@H](OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)/C(=C/C)/NC(=O)C(NC(=O)C(NC2=O)CO)C)C)CCN)CCN)CC3=CC=C(C=C3)O)C)O
